"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.228470565,      -4.440277048,      -3.713705726,      -14.13289669,      -7.155556809
           1,      -4.230991939,       -4.44344639,      -3.716600582,      -14.23054381,      -4.476157948
           2,      -4.900528733,      -4.846952579,      -4.395250409,      -14.54406294,      -4.154152467
           3,      -5.007846289,      -5.007145113,      -4.560662578,      -12.70459733,      -4.121268096
           4,      -5.100103852,      -5.141244326,      -4.614640166,      -11.06293609,      -3.943597304
           5,      -5.212418353,      -5.224688538,      -4.646571698,      -10.35742855,      -3.374500437
           6,      -5.281656272,      -5.287650371,      -4.733850204,      -10.02962955,      -3.051525887
           7,      -5.308510968,      -5.335625114,       -4.77678785,      -9.857521482,      -2.880483067
           8,      -5.390212877,       -5.44439978,      -4.872476634,      -9.700401552,      -2.723503287
           9,      -5.421967106,      -5.500897743,      -4.908353443,      -9.705695567,      -2.727928955
          10,      -5.478379074,      -5.563789245,      -4.961696577,      -9.663653628,      -2.685309893
          11,      -5.546082338,      -5.644736963,      -5.032635474,       -9.73942037,       -2.75844606
          12,      -5.605150729,      -5.698839319,      -5.096306233,      -9.751422524,       -2.76908875
          13,      -5.572861391,      -5.617358089,      -5.039464399,      -9.794602036,      -2.809360511
          14,      -5.642202939,      -5.700972549,      -5.105295739,      -9.816791598,      -2.829654181
          15,      -5.653401441,      -5.689329549,      -5.097074379,      -9.872739527,      -2.881467991
          16,      -5.772587284,      -5.739680295,       -5.19909796,      -9.891618217,      -2.898081396
          17,      -5.873003531,      -5.784271787,      -5.282395611,      -9.951181792,      -2.951336392
          18,      -5.977087772,      -5.832649431,      -5.377608317,      -9.972419591,      -2.967257614
          19,      -6.035695932,      -5.860120951,      -5.430608645,      -10.02643957,      -2.995053048
          20,      -6.151280731,      -5.918591153,      -5.541831644,      -10.04789404,      -2.975149218
          21,      -6.249435835,      -5.968858941,      -5.637414129,      -10.09743856,      -2.878141915
          22,      -6.321864295,      -6.006549755,      -5.720955265,      -10.11289393,      -2.817653814
          23,      -6.395300405,      -6.044241942,      -5.796128225,      -10.16435279,      -2.780853657
          24,      -6.445213187,      -6.069169131,      -5.850906113,      -10.18114777,      -2.728929242
          25,      -6.473998191,      -6.088668306,      -5.887887302,      -10.22329692,      -2.663503814
          26,      -6.499327253,      -6.103649852,      -5.920930207,      -10.24086442,      -2.590132315
          27,      -6.457261992,      -6.097512675,       -5.89425375,      -10.28141222,      -2.525680875
          28,      -6.417558682,      -6.101023204,      -5.866414699,      -10.29698698,      -2.467171376
          29,      -6.390612167,       -6.07686022,      -5.834293341,      -10.33338035,      -2.388599496
          30,      -6.383770908,      -6.099811937,      -5.828499768,      -10.34701949,      -2.307200188
          31,      -6.323971269,       -6.06407308,      -5.759925454,      -10.37787798,      -2.436990788
          32,      -6.275499369,      -6.057597185,      -5.713089747,       -10.3894309,      -2.534459868
          33,      -6.217993646,      -6.021204484,      -5.652479462,      -10.41260648,      -2.621865812
          34,       -6.21804792,      -6.050955138,      -5.657800049,      -10.41717369,      -2.724071116
          35,      -6.224746963,      -6.033968303,      -5.662356475,      -10.42184883,      -2.806863964
          36,      -6.208137055,      -6.015431045,      -5.648485849,      -10.40523253,      -2.807925668
          37,      -6.153040632,      -5.966332571,      -5.590374867,      -10.35847682,      -2.864053558
          38,      -6.125674523,      -5.960642923,      -5.569908741,      -10.28970183,      -2.820696357
          39,      -6.084590456,       -5.90745077,      -5.523482345,       -10.1689369,      -2.842909296
          40,      -6.069312845,      -5.910892507,      -5.508986397,      -10.05257335,      -2.754481968
          41,      -6.062304538,      -5.901042602,      -5.500372946,      -9.885346611,      -2.756370089
          42,      -6.042201749,      -5.895229908,      -5.488117559,      -9.749652446,      -2.679824712
          43,      -5.977275281,      -5.820187645,      -5.420074542,      -9.572497994,       -2.59483851
          44,      -5.944976147,      -5.795260865,      -5.391556602,      -9.432283645,      -2.552683468
          45,      -5.908085023,      -5.762124668,      -5.349589277,      -9.244595718,      -2.720132738
          46,      -5.894190868,      -5.763301411,      -5.342228848,      -9.100153236,      -2.705386389
          47,      -5.855362729,      -5.732629334,      -5.300361499,      -8.908061209,      -2.802307193
          48,      -5.843437111,      -5.717523551,      -5.294023862,      -8.759050996,       -2.72162535
          49,      -5.822681712,       -5.69676042,      -5.270672141,      -8.560856429,       -2.77770119
          50,      -5.812253219,      -5.708098898,      -5.268480006,      -8.407052459,      -2.709149289
          51,      -5.791335003,      -5.684070204,      -5.242338749,      -8.206466352,      -2.774203109
          52,      -5.782906149,      -5.674128852,      -5.237406568,      -8.053175459,      -2.695309329
          53,      -5.786413123,      -5.672269863,      -5.235882656,      -7.847039003,      -2.742966978
          54,      -5.792355423,      -5.690419477,      -5.248562089,      -7.697198649,      -2.630721534
          55,        -5.7910902,      -5.693719469,      -5.244732324,      -7.511631852,      -2.635766045
          56,      -5.814925152,      -5.709120168,      -5.268181424,      -7.392557019,      -2.574899657
          57,      -5.839683835,      -5.723780632,      -5.289222507,      -7.253179792,      -2.567020744
          58,      -5.874119058,      -5.762997505,      -5.327216179,      -7.175812216,      -2.524975676
          59,      -5.932376868,      -5.809632389,      -5.379038572,      -7.087911645,      -2.550744681
          60,      -5.990789073,      -5.853394484,      -5.437440442,      -7.043423303,      -2.563413383
          61,      -6.056797659,      -5.910327726,      -5.498347507,      -6.981655469,      -2.634942881
          62,       -6.12831745,      -5.997661427,      -5.578052327,       -6.94894884,      -2.577065155
          63,      -6.205809877,      -6.057928801,      -5.656650382,      -6.894910938,      -2.579981991
          64,      -6.255079655,      -6.083857814,      -5.704942071,      -6.868117555,       -2.53103638
          65,      -6.266509295,      -6.064533944,       -5.70932522,      -6.843467016,      -2.516774114
          66,      -6.298398353,      -6.073943951,      -5.735254129,       -6.84272376,      -2.452971367
          67,      -6.309122912,      -6.056123083,       -5.73728475,      -6.829685972,      -2.448836593
          68,      -6.351900017,      -6.083323243,      -5.775573223,      -6.811041859,      -2.459897716
          69,      -6.360960632,       -6.07208863,      -5.780614447,      -6.789802672,      -2.463625686
          70,      -6.405965947,       -6.08929533,      -5.828282208,      -6.774129318,      -2.467883399
          71,      -6.394189155,      -6.058285484,      -5.817905218,      -6.768524916,      -2.467250705
          72,      -6.441623572,      -6.082894852,      -5.867507621,      -6.750173294,      -2.496873393
          73,       -6.42030119,      -6.040147406,      -5.844703156,      -6.750163385,      -2.515902809
          74,      -6.434509251,      -6.047625817,      -5.864972722,      -6.757382788,      -2.521364266
          75,      -6.376256692,      -6.001039108,      -5.804413314,      -6.768497334,       -2.56578707
          76,       -6.38967659,       -6.01405193,      -5.826035441,      -6.780783599,      -2.565610415
          77,      -6.312495068,      -5.963033471,      -5.745101094,      -6.805859411,      -2.599903638
          78,      -6.296759656,      -5.966778527,      -5.730131853,      -6.801106631,      -2.633369774
          79,      -6.209737053,      -5.891977059,       -5.63944931,      -6.777915147,      -2.671334872
          80,      -6.196132786,      -5.890082194,      -5.625864669,      -6.774802676,      -2.672053476
          81,      -6.102987227,      -5.815383896,      -5.528375049,      -6.762513051,      -2.711225576
          82,      -6.107113574,      -5.831918592,       -5.53614407,       -6.76354459,      -2.711369402
          83,      -6.032117347,      -5.768769799,      -5.460227869,      -6.774232731,      -2.744617054
          84,      -6.042269183,      -5.793510759,       -5.47271429,      -6.765193398,      -2.749452875
          85,      -5.989285015,       -5.74692118,      -5.419222365,      -6.770996207,      -2.792509681
          86,      -6.007001106,      -5.773326925,       -5.44025371,      -6.754370019,      -2.786630051
          87,      -5.966013315,      -5.734947422,      -5.396496163,      -6.772432739,      -2.835955115
          88,      -5.990562457,       -5.76901241,      -5.425468285,      -6.763517987,      -2.833604137
          89,      -5.957343403,      -5.736398463,      -5.390061955,      -6.796294357,      -2.878026956
          90,      -5.981603762,      -5.767833186,       -5.41641646,      -6.792665019,      -2.882466145
          91,      -5.968249244,      -5.751203028,      -5.400672032,       -6.81826721,      -2.917053579
          92,      -5.989629519,      -5.778533713,      -5.426413545,      -6.802911069,      -2.912939067
          93,      -5.979192917,      -5.766290947,      -5.412286271,      -6.825256766,      -2.953153196
          94,      -6.002312137,      -5.796233545,      -5.440433115,      -6.817255373,      -2.958175262
          95,      -6.002414676,      -5.791058505,      -5.435813434,      -6.844545091,      -2.997078587
          96,      -6.024855381,      -5.819198686,      -5.461684731,      -6.841298608,      -3.009682263
          97,      -6.034349409,      -5.825225444,      -5.467608974,       -6.86856109,      -3.051464066
          98,      -6.058338603,      -5.853051396,       -5.49595023,      -6.847758669,      -3.049331375
          99,       -6.07280019,      -5.862935406,      -5.505412994,       -6.84239083,      -3.064414901
         100,      -6.103301953,      -5.896288868,       -5.54046979,      -6.826874722,      -3.064451389
         101,      -6.118568683,      -5.906006817,        -5.5518951,      -6.834479612,      -3.080749446
         102,      -6.153210958,      -5.941841977,      -5.589279582,      -6.827581013,       -3.08300621
         103,       -6.18052461,      -5.962975179,      -5.613857754,      -6.843671343,      -3.102217544
         104,      -6.213702423,      -5.992755462,      -5.651035174,      -6.846979249,      -3.104456483
         105,       -6.23786316,      -6.004210358,      -5.671012873,      -6.870257107,      -3.126877027
         106,      -6.273984322,      -6.039695179,      -5.711910351,      -6.882390873,      -3.134066123
         107,      -6.291215282,      -6.049286925,      -5.726254492,      -6.913138309,      -3.164212825
         108,      -6.317162902,      -6.074302466,      -5.755686004,      -6.932152748,        -3.1734363
         109,      -6.314070267,      -6.069584166,      -5.749666905,      -6.952857822,      -3.200954306
         110,      -6.345050665,      -6.105756418,      -5.785081851,      -6.947761785,      -3.191279004
         111,      -6.336274698,      -6.099954774,      -5.774696208,      -6.918554627,      -3.186579331
         112,      -6.343216911,      -6.113537053,      -5.785874619,      -6.896544375,      -3.163880389
         113,      -6.331769441,      -6.106447306,      -5.770446553,      -6.878411715,      -3.151908077
         114,      -6.334313327,      -6.118553445,      -5.776529969,      -6.864217506,      -3.128123157
         115,      -6.315158931,      -6.104073398,      -5.752351768,      -6.864023654,      -3.128187687
         116,      -6.320460396,      -6.114881291,      -5.760709759,      -6.860077885,      -3.104511149
         117,      -6.302488373,      -6.095424363,      -5.738356622,        -6.8799382,      -3.129380827
         118,      -6.311315374,      -6.110343961,      -5.751540706,      -6.887257175,      -3.125489814
         119,      -6.288861236,       -6.09402981,      -5.724221675,      -6.915605395,      -3.151767992
         120,      -6.289097021,      -6.100909822,      -5.726372482,       -6.92350012,      -3.145339814
         121,      -6.266383834,       -6.08196449,      -5.700002484,      -6.932915539,      -3.160182774
         122,      -6.262607825,      -6.085011258,      -5.698918549,      -6.897650928,       -3.13160767
         123,      -6.224096214,      -6.049015961,      -5.656450606,       -6.87630637,      -3.138914217
         124,      -6.219088601,      -6.044151671,      -5.653259291,      -6.844430045,      -3.116677954
         125,      -6.205240706,      -6.023560358,      -5.633256142,      -6.826767986,      -3.101835718
         126,      -6.151940382,      -5.959066078,      -5.581046087,      -6.801574222,      -3.059766627
         127,      -6.154745308,      -5.972902827,      -5.581662557,      -6.791662357,      -3.025411749
         128,      -6.126050219,      -5.938461468,      -5.558614236,       -6.76016869,      -2.994078179
         129,      -6.094094739,      -5.900592814,       -5.52238591,      -6.752008083,      -3.012755108
         130,      -6.056560825,      -5.853754627,      -5.481680575,      -6.673348171,      -2.981583903
         131,      -5.991569348,      -5.770450266,      -5.403132775,      -6.677032299,      -3.010929444
         132,      -5.968349218,      -5.730883852,         -5.376624,      -6.636378419,      -3.009734048
         133,      -5.974176715,      -5.731954097,      -5.372584621,      -6.663535688,      -3.037694422
         134,      -5.989954635,      -5.744495446,      -5.391806704,      -6.629162517,      -3.021729977
         135,      -5.996290605,       -5.75147509,      -5.396511892,      -6.664259724,       -3.03852584
         136,      -6.023095772,      -5.777592512,      -5.428879595,      -6.662387455,      -3.037569314
         137,      -6.058710214,      -5.822362105,      -5.463585116,      -6.710587558,      -3.063285362
         138,      -6.094929817,      -5.863583769,      -5.505659392,      -6.715043265,       -3.06549358
         139,      -6.121088961,      -5.898662779,       -5.53294287,      -6.768016904,       -3.09648238
