"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -5.053489742,      -5.247618466,      -4.552282719,      -19.11134849,      -12.52969846
           1,      -5.055883753,      -5.250501861,       -4.55493105,      -15.27746953,      -3.821356648
           2,      -5.731523953,      -5.681115345,      -5.238639695,      -15.52112826,      -4.071036627
           3,      -5.771054507,      -5.695581988,      -5.319295066,      -15.63318223,      -4.087448577
           4,      -5.956507905,      -5.894593796,      -5.546332708,      -15.62655909,      -3.869511072
           5,      -5.926262931,      -5.864219384,      -5.512691872,      -15.71562915,      -4.016104965
           6,      -6.091672768,      -6.032393415,      -5.574645901,      -15.46683026,      -4.175962743
           7,      -6.087562051,      -6.029593865,      -5.525456083,      -15.61734142,      -3.947549726
           8,      -6.178656823,      -6.167721448,      -5.652393396,       -15.7432846,      -4.032253953
           9,      -6.225734376,      -6.328552229,      -5.729680054,      -15.63726204,       -4.03954221
          10,       -6.26637981,      -6.455170043,       -5.78473021,      -14.66293505,      -4.086271867
          11,      -6.313840799,      -6.536951214,      -5.831777733,      -14.28109663,      -4.132056903
          12,      -6.344420166,      -6.586682706,      -5.857858513,      -13.67722293,      -4.114336333
          13,       -6.37504859,      -6.601220571,      -5.888521408,      -12.92251053,      -4.028427123
          14,      -6.400999331,       -6.62176459,      -5.919524901,      -12.67632408,      -3.968334173
          15,      -6.416424256,      -6.623412589,      -5.939030233,      -12.29533227,      -3.958244647
          16,      -6.444369869,      -6.606314269,      -5.973802406,      -11.82006163,      -3.865838354
          17,      -6.468600789,      -6.617601641,      -6.008851295,      -11.67167006,      -3.865760805
          18,      -6.486871428,      -6.617707299,      -6.034612839,      -11.43544085,       -3.82076809
          19,      -6.520603759,      -6.613185887,       -6.07841783,      -11.13419074,      -3.768564292
          20,      -6.546107721,      -6.632722931,      -6.120296693,      -11.05528271,      -3.751915556
          21,      -6.566858943,      -6.645408047,      -6.151582914,       -10.9160817,      -3.738207805
          22,      -6.602294007,      -6.661921755,      -6.198847127,      -10.73016861,      -3.674543395
          23,      -6.626478165,      -6.693110217,      -6.244784687,      -10.69591947,      -3.645509732
          24,      -6.647142368,      -6.719742911,      -6.277060264,      -10.62030341,      -3.608695208
          25,      -6.679998672,      -6.753154726,        -6.3187689,      -10.51400712,      -3.536455251
          26,      -6.700361658,      -6.795344504,      -6.362796117,      -10.50520841,      -3.500057823
          27,      -6.717982039,      -6.832102123,      -6.388149448,       -10.4703135,      -3.458196446
          28,      -6.744137109,      -6.869419574,       -6.41208738,      -10.41947393,      -3.385769619
          29,      -6.761137034,      -6.916270613,      -6.447316153,      -10.42394428,      -3.346149384
          30,      -6.775813262,      -6.948859657,      -6.461674528,      -10.41453825,      -3.307201894
          31,      -6.797035089,       -6.95840657,       -6.46917471,      -10.40011229,       -3.27546624
          32,       -6.81065944,      -6.993343364,      -6.494226429,      -10.41098048,      -3.290325339
          33,      -6.823107447,      -6.998341543,      -6.501424835,      -10.41634817,      -3.279951634
          34,      -6.842675509,      -6.966078716,      -6.501649248,      -10.42199743,      -3.285671575
          35,      -6.856197703,      -6.981616726,      -6.522003663,      -10.43546805,      -3.246216668
          36,      -6.866660119,      -6.964721694,       -6.52394024,      -10.44780025,      -3.169819578
          37,      -6.883112672,      -6.924691072,      -6.519277331,       -10.4610125,      -3.117359627
          38,       -6.89696796,      -6.934105843,      -6.538135093,      -10.47506384,      -3.117790873
          39,      -6.908554413,      -6.920401956,       -6.54254549,      -10.48932194,      -3.119749114
          40,      -6.924690248,      -6.898427685,      -6.541705604,      -10.50327846,      -3.112610827
          41,      -6.930029495,      -6.906782056,      -6.549952976,      -10.51688324,      -3.100645811
          42,      -6.932388398,      -6.899234958,      -6.546718257,      -10.53062695,      -3.073736178
          43,      -6.931808275,      -6.886022333,      -6.529877638,       -10.5433033,      -3.073760094
          44,      -6.920862882,      -6.893657974,      -6.516907925,      -10.55591595,      -3.049435259
          45,      -6.909923829,      -6.890469703,      -6.500989232,      -10.56837486,      -3.037996563
          46,      -6.885148837,      -6.870222296,      -6.456939687,       -10.5797497,      -3.026236594
          47,      -6.855742284,      -6.873312592,      -6.418685026,        -10.591165,       -3.02407351
          48,      -6.826910377,      -6.864792146,      -6.383524533,      -10.60230978,      -3.061850308
          49,       -6.78181704,      -6.812556902,      -6.315321363,      -10.61264731,      -3.056615813
          50,      -6.746472077,      -6.807517174,      -6.265835974,      -10.62294505,       -3.07349988
          51,      -6.715899035,      -6.790202409,      -6.227219939,      -10.63300543,      -3.085939002
          52,      -6.670731049,      -6.715298651,       -6.16258279,      -10.64277023,      -3.073053815
          53,      -6.622418409,       -6.64666715,      -6.095130725,      -10.65208043,      -3.068105268
          54,      -6.605424192,      -6.656527188,      -6.070610108,      -10.66130483,      -3.085933021
          55,      -6.584609683,      -6.656597263,      -6.045210025,      -10.67022113,      -3.080340808
          56,      -6.565650159,      -6.634447726,      -6.019756121,      -10.67909036,      -3.056827077
          57,      -6.536092414,      -6.564655485,      -5.983193955,      -10.68753474,      -3.032943743
          58,       -6.50881527,      -6.575581434,       -5.94709241,      -10.69577774,      -3.070140514
          59,      -6.476482064,      -6.577423914,      -5.914453676,      -10.70383979,      -3.072367704
          60,      -6.465347985,      -6.581827892,      -5.909388639,      -10.71173894,      -3.055793656
          61,      -6.435680771,       -6.51821093,      -5.878542502,      -10.71890812,      -3.031609465
          62,      -6.410891641,      -6.535157502,      -5.845350178,      -10.72584102,      -3.072543159
          63,      -6.389005212,      -6.536653797,      -5.824673125,      -10.73203039,      -3.077304324
          64,      -6.374873591,       -6.53095996,      -5.816897038,      -10.73716179,      -3.072681622
          65,      -6.344607277,      -6.479862593,      -5.786553876,      -10.74013038,      -3.043873183
          66,      -6.328693695,      -6.492961746,      -5.765604369,      -10.74066353,      -3.016564095
          67,      -6.307313066,      -6.480702973,       -5.74389179,      -10.73694233,      -3.060752477
          68,      -6.292346548,      -6.465054702,      -5.731065292,      -10.72650914,      -3.065629667
          69,      -6.279320298,      -6.457042367,      -5.721181202,      -10.70668205,      -3.046659431
          70,      -6.253828383,      -6.431449737,      -5.694940572,      -10.67557177,      -3.045464537
          71,      -6.237546893,      -6.415435654,      -5.674843772,      -10.62953681,      -3.088462057
          72,      -6.225608862,       -6.40445589,        -5.6634775,      -10.56815676,      -3.097455092
          73,      -6.209038955,      -6.381413859,      -5.648788242,      -10.49475046,      -3.093752884
          74,       -6.20189544,      -6.374301936,      -5.641502858,      -10.40909838,      -3.069504077
          75,      -6.197023206,      -6.373010255,      -5.639024296,      -10.31514594,      -3.043524261
          76,      -6.190363411,      -6.354450289,      -5.632143929,       -10.2177054,      -3.099679132
          77,      -6.182882614,      -6.346763604,      -5.621689116,      -10.11557647,      -3.113862015
          78,      -6.175221423,       -6.33756212,      -5.616054543,      -10.01098005,       -3.10852357
          79,      -6.160385015,      -6.312303821,      -5.601520868,      -9.906710087,      -3.098636341
          80,      -6.145799538,      -6.303278024,      -5.584573294,      -9.800511739,      -3.070838205
          81,      -6.127659275,      -6.254181676,      -5.571104824,      -9.694247376,      -3.052370362
          82,      -6.116561719,      -6.256472733,      -5.554448398,      -9.588539016,      -3.119736361
          83,      -6.098172211,      -6.248650373,      -5.533354396,      -9.482452561,      -3.146845882
          84,      -6.072426821,      -6.152114516,      -5.507347211,      -9.376259348,      -3.146040776
          85,      -6.057919867,      -6.115617905,      -5.488409243,      -9.272407794,      -3.133683274
          86,      -6.064735269,      -6.198618178,      -5.496820886,      -9.168690509,      -3.093029492
          87,      -6.081248983,      -6.169845359,      -5.524198054,      -9.066670646,      -3.063629126
          88,      -6.091387229,      -6.118190873,      -5.525590991,       -8.96942745,      -3.127200625
          89,      -6.068142059,      -6.111318965,      -5.502384464,      -8.877254037,      -3.136365232
          90,      -6.081672828,      -6.167567283,      -5.523126181,      -8.790557491,      -3.112109066
          91,      -6.092719222,      -6.155101057,      -5.531550363,      -8.713819733,      -3.071394898
          92,      -6.079263261,      -6.098916829,      -5.514529226,      -8.646278622,      -3.057683507
          93,      -6.064297044,      -6.101655425,      -5.503261731,      -8.588476064,      -3.114299279
          94,      -6.085761758,       -6.16948297,      -5.524366695,      -8.539169365,       -3.12866644
          95,      -6.082658823,       -6.15524195,      -5.522847489,      -8.495552357,      -3.112999261
          96,      -6.069937826,      -6.086733232,      -5.507633427,      -8.456691683,      -3.078268636
          97,      -6.052568105,      -6.105081876,       -5.49097192,       -8.42349079,      -3.061929509
          98,      -6.056184042,      -6.158996322,      -5.498327388,      -8.391758093,      -3.123230434
          99,      -6.057011096,      -6.131044252,      -5.502951683,      -8.363137501,      -3.125388156
         100,      -6.044032093,      -6.074417776,      -5.478079141,      -8.337918406,      -3.100637015
         101,      -6.022266405,      -6.080492883,      -5.460477626,      -8.314879306,      -3.043274842
         102,      -6.020734771,      -6.115728113,      -5.465766493,      -8.293752829,      -3.092946683
         103,      -6.031472216,      -6.098188837,       -5.47184124,      -8.275136364,      -3.122498722
         104,      -6.019510404,      -6.067404616,      -5.453655546,      -8.258516266,      -3.104970626
         105,      -6.012215498,      -6.059222647,      -5.451666496,      -8.244531763,      -3.062547186
         106,      -5.991875152,      -6.074770413,      -5.428280665,      -8.231210423,      -3.030313755
         107,       -6.01173609,      -6.088589461,      -5.449971323,      -8.219677018,      -3.086536322
         108,      -6.008673818,      -6.064765956,      -5.445889083,      -8.210278779,       -3.08541019
         109,      -6.013352389,      -6.091502144,      -5.448227468,      -8.200086057,       -3.05023774
         110,      -6.002001088,      -6.101241704,      -5.439008247,      -8.190926225,      -2.993240928
         111,      -6.011863101,       -6.03685203,      -5.450984575,      -8.183888725,        -3.0316859
         112,      -5.993271892,      -6.063412601,      -5.422162619,      -8.174087384,      -3.035542877
         113,      -6.001425739,      -6.099524216,      -5.437209285,      -8.165659239,       -2.99716166
         114,      -6.024269318,      -6.117795274,      -5.468746725,      -8.160839172,      -2.934829928
         115,      -6.017863251,      -6.081531536,      -5.452113884,      -8.154516027,      -2.934172658
         116,      -6.004084996,      -6.068419374,      -5.437632983,      -8.149996757,      -2.900621971
         117,      -5.989090454,      -6.097978356,       -5.42824461,      -8.147579432,      -2.820738633
         118,      -6.006674233,      -6.072113548,      -5.447807191,      -8.139571548,      -2.777910076
         119,      -5.990010057,       -6.06359564,      -5.422002934,      -8.137670176,         -2.732809
         120,      -5.995631792,      -6.079415441,      -5.437468435,      -8.130443402,      -2.642729589
         121,      -5.973333589,      -6.076008277,      -5.412250239,      -8.133916599,      -2.752900564
         122,      -5.993252067,      -6.045747794,      -5.431269027,      -8.131730023,      -2.821856738
         123,      -5.983390806,       -6.05286301,      -5.421243575,       -8.10688293,      -2.861321676
         124,      -5.979486359,      -6.048453838,      -5.418466823,      -8.124696471,      -2.576260014
         125,      -5.975268526,      -6.035129244,      -5.406097086,      -8.126914558,      -2.862819152
         126,       -5.97766613,      -6.062449621,      -5.416593633,      -8.110369586,      -2.833675854
         127,      -5.989615303,      -6.038482421,      -5.421154844,      -8.041830793,      -2.695457541
         128,      -5.980511319,      -6.020937235,       -5.39908897,      -8.067682091,      -2.226286806
         129,       -5.99425135,      -6.052006983,       -5.41831959,      -8.091710497,      -2.723666102
         130,      -5.999102118,      -6.055064633,      -5.428390825,      -7.673622462,       -2.44846971
         131,       -5.99179418,      -5.938076415,      -5.068192301,      -7.659834487,      -1.580998051
         132,      -6.003854274,      -5.937390804,      -5.160574865,      -7.216651185,      -1.666591845
         133,      -6.022437687,      -4.248303739,      -3.958487122,      -7.548623858,       1.313561622
         134,      -6.014175329,      -6.016342072,      -5.390716301,      -7.974173957,       4.725930149
         135,      -6.022924608,      -6.068799497,      -5.426144567,      -8.005055693,         3.5759943
         136,      -6.029726452,      -6.062502138,       -5.41710464,      -7.896011769,       3.863990517
         137,      -6.026205612,      -6.049210166,      -5.446767281,      -7.998634702,       3.966692981
         138,      -6.041551748,      -6.091160013,       -5.47814732,      -7.905246734,       3.185717111
         139,      -6.052599174,      -6.105246234,       -5.49106657,      -8.026724589,       1.121450707
         140,      -6.038605689,      -6.108902709,      -5.475361696,       -7.98295147,      0.6067101662
         141,      -6.055545617,      -6.114088259,      -5.494380184,      -7.728426338,      0.8505818074
         142,      -6.040138564,      -6.097034571,      -5.480812364,       -7.75897636,      0.4095497781
         143,      -6.029815738,      -6.127625649,      -5.479729351,      -7.832535624,      -1.683027634
         144,      -6.040018811,      -6.124338732,      -5.502705956,      -7.828146365,      -2.502747234
         145,      -5.947796516,      -6.001489626,      -5.391151073,       -7.64881684,      -2.388543716
         146,      -5.837066737,      -5.850926241,      -5.251479656,      -7.730225713,      -2.098178738
         147,      -5.810280021,      -5.769627834,      -5.231398989,      -7.524175025,      -2.389092836
         148,      -5.843006378,      -5.750090386,      -5.264548801,      -7.286690968,      -2.235981068
         149,      -5.739066489,      -5.616785764,       -5.02324005,      -6.727861107,       -1.77626715
         150,      -5.739205087,      -5.442833015,      -3.954600788,      -6.482275911,     -0.7897331009
         151,      -5.724155307,      -5.466953529,      -4.228026091,      -6.439763514,     -0.1602002628
         152,      -5.764068763,      -3.639633102,      -2.087722045,      -6.384017946,       1.674464258
         153,      -5.823108832,      -5.348570957,      -3.982751374,        -6.3335944,       5.005155819
         154,      -5.845804414,      -1.195808639,     -0.2538206128,      -2.380436577,       5.200771372
         155,      -5.813405211,      -5.088567487,      -4.081820943,      -6.907209711,       6.807808409
         156,      -5.814817004,       -5.63584578,      -4.257729958,      -6.776713488,       6.244941794
         157,       -5.72821198,     -0.8970040878,      0.8017276952,      -1.946013898,       7.037041385
         158,       -5.76206746,      -5.300778303,      -4.119251273,      -6.325539242,       4.459867467
         159,      -5.877518027,      -4.296371981,      -2.591535734,      -7.220553708,       10.28768054
         160,      -5.840979779,      -3.128452837,      -2.818871146,      -5.442723681,        8.20171839
         161,      -5.728106462,      -0.384036455,      0.6333528918,      -1.317366237,       7.569866673
         162,      -5.720513083,     -0.0858340742,       1.081062074,      -2.212691126,       7.193685609
         163,       -4.45756107,      0.4406399648,       1.547825018,     -0.7237141184,       6.765908832
         164,      -4.683244426,       0.487690358,       1.542545613,      -1.209176807,       6.147622429
         165,      -4.899420468,      0.5079882845,       1.423198217,      -1.561391459,       5.616949935
         166,      -5.025399248,    -0.07926457793,       1.213153452,      -1.845221728,       5.346174318
