"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -5.693251683,      -5.655761869,       -5.16692392,      -16.31999316,      -10.14365825
           1,      -5.792809642,      -5.754084883,      -5.276410477,      -15.87933219,      -1.573292914
           2,      -5.802252254,      -5.764095543,      -5.289077414,      -15.76353814,       -2.28715465
           3,       -5.81840019,      -5.716502599,      -5.311920413,      -15.76176646,      -2.326616251
           4,      -5.878326854,       -5.75791382,      -5.374931581,      -15.71073403,      -2.391660961
           5,      -5.952910945,       -5.89929723,      -5.454543273,      -15.68807916,      -2.414188222
           6,      -5.924437518,      -5.875496833,      -5.421224284,      -15.65170749,      -2.452533977
           7,      -5.880852318,       -5.78591487,      -5.371974919,      -15.57031915,      -2.515025255
           8,      -5.960733884,      -5.858776998,      -5.457622311,      -14.68732596,      -2.566499203
           9,      -6.081190265,      -6.057546579,       -5.57975701,      -14.18990539,      -2.652592367
          10,       -6.07914277,      -5.998248804,      -5.572633771,      -13.59066018,      -2.727074731
          11,      -6.050095348,      -5.836567236,       -5.54386985,      -12.74468847,      -2.743784455
          12,      -6.116074909,      -5.921702087,      -5.612384253,      -12.09658466,      -2.840406583
          13,      -6.214056056,      -6.133852425,      -5.709759845,      -11.85354951,      -2.953365546
          14,      -6.239500661,      -6.024033656,      -5.736391405,      -11.48205399,      -2.969715728
          15,       -6.23673777,      -5.956849577,      -5.731284581,       -11.0578791,      -3.021114926
          16,      -6.269740962,      -5.931656206,      -5.763208817,      -10.74630117,      -3.082458216
          17,        -6.3726569,      -6.101223888,      -5.874264273,      -10.56741229,      -3.131800714
          18,      -6.397295741,      -6.020842488,      -5.896875086,      -10.36210225,      -3.163882218
          19,      -6.442504459,      -6.033365056,      -5.943990939,      -10.16151266,      -3.193898718
          20,      -6.445022605,      -5.900012564,      -5.936973184,      -9.977409719,      -3.202370312
          21,      -6.537818901,      -6.023098523,      -6.038505887,      -9.843306149,      -3.214484703
          22,      -6.635988373,      -6.115945774,      -6.144761869,      -9.780959393,      -3.233952387
          23,      -6.634270668,      -6.002615315,       -6.12758084,      -9.641961572,      -3.194712813
          24,      -6.577826327,      -5.870246584,        -6.0372652,      -9.505386158,      -3.142520126
          25,      -6.702798546,      -6.136838012,      -6.181590189,      -9.465601369,      -3.141720236
          26,      -6.742209362,      -6.111205618,      -6.207662438,      -9.434202295,      -3.129669243
          27,      -6.655410183,      -5.979257759,      -6.095812033,      -9.340493351,      -3.069048453
          28,      -6.621632431,        -5.9766758,      -6.053347794,       -9.28927932,      -3.033664247
          29,      -6.715585586,      -6.165201252,      -6.149592269,      -9.284834631,      -3.035114099
          30,      -6.687822458,      -6.083404955,      -6.113298688,      -9.264003428,      -3.018604015
          31,      -6.693398001,      -6.099218893,       -6.11152634,      -9.226888242,      -2.984748734
          32,      -6.645401296,      -5.989573518,      -6.049276502,      -9.201229883,      -2.958145191
          33,      -6.717501035,      -6.126209085,      -6.124764545,      -9.201211862,      -2.959467518
          34,      -6.785598773,      -6.211544001,      -6.188728763,      -9.208530315,      -2.959716448
          35,      -6.762364058,      -6.113813474,      -6.150860841,      -9.202396724,      -2.944310783
          36,      -6.713344339,      -5.986301545,      -6.086713122,      -9.232017626,       -2.96098585
          37,      -6.874962332,      -6.242330546,      -6.255394757,      -9.230883476,      -2.954458402
          38,      -6.924817253,      -6.213813617,      -6.290995251,       -9.24300085,      -2.954593039
          39,      -6.895260184,      -6.086775513,      -6.226910906,      -9.235422277,      -2.940439203
          40,      -6.890005386,       -6.10275384,      -6.230987807,      -9.248005875,      -2.936668726
