"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoE][0]"  ,    "rms[T][1]"   
           0,      -4.775623963,      -1.980977072,    -0.03612629823,      -8.762385254
           1,      -4.777513069,      -2.246063929,    -0.06182532227,       -9.32287123
           2,      -5.166963643,      -2.339613509,     -0.4369319619,      -9.286594962
           3,      -5.460746101,      -2.445520488,     -0.6283087492,      -9.690358942
           4,      -5.291429751,      -2.513797438,     -0.5246367508,      -9.909584392
           5,      -5.560512658,      -2.676542551,     -0.6729176683,      -9.938763745
           6,      -5.663251693,      -2.725390568,     -0.8579009405,      -9.808063115
           7,       -5.59456189,      -2.654699899,     -0.7734423307,      -9.771355002
           8,       -5.47540389,      -2.539894437,     -0.6353397972,      -9.639850862
           9,      -5.476555423,      -2.513902786,     -0.6247549425,      -9.512907964
          10,      -5.372337338,      -2.509729981,     -0.5514043417,      -9.430519254
          11,      -5.578187546,      -2.747690242,     -0.7812565691,      -9.513944895
          12,      -5.673655523,      -2.872325287,     -0.8213133929,      -9.594838618
          13,      -5.761858171,      -2.993613061,       -0.92900321,      -9.696341826
          14,      -6.116698881,      -3.197948257,      -1.085717939,      -9.917882696
          15,      -6.366233284,        -3.5032172,      -1.134313615,      -10.14832423
          16,      -6.437679739,      -3.723061939,      -1.125269067,      -10.39957229
          17,      -6.513068275,      -4.054487907,      -1.099956076,      -10.63824778
          18,      -6.578831841,      -4.251827405,       -1.11525401,      -10.89772224
          19,      -6.680500556,      -4.367758949,      -1.162519901,      -11.09713781
          20,      -6.599748134,      -4.498902436,      -1.115059016,      -11.22453004
          21,      -6.605631009,      -4.604385358,      -1.115929916,      -11.34931828
          22,      -6.613202704,      -4.681580668,      -1.155962963,       -11.4267199
          23,      -6.621646735,      -4.800799682,      -1.152228388,      -11.58885852
          24,      -6.593877159,      -4.882305822,      -1.149680082,      -11.80430686
          25,      -6.588182217,       -4.98956579,      -1.149360974,      -11.78616668
          26,      -6.601414123,      -5.037529053,      -1.109899201,      -11.90604375
          27,      -6.595540311,      -5.126376895,      -1.128040896,      -12.06337432
          28,       -6.61567728,       -5.16784033,      -1.157491345,      -12.09657643
          29,      -6.587933452,      -5.180190928,      -1.121958434,      -11.90016672
          30,       -6.59829504,      -5.186801219,      -1.133482759,      -11.92022719
          31,      -6.559924064,      -5.172483725,      -1.129059562,      -12.16260564
          32,      -6.632030554,      -5.176354908,      -1.130987178,      -12.09296662
          33,        -6.5940842,      -5.202375533,      -1.131484314,      -12.12245754
          34,      -6.572247414,      -5.181041539,      -1.139966333,      -12.17480716
          35,      -6.562116726,      -5.172173624,      -1.112207643,      -12.00926789
          36,      -6.590070768,      -5.206641969,      -1.134014297,      -12.01445725
          37,      -6.621995051,      -5.206956562,      -1.153778547,       -12.0444773
          38,      -6.635317507,      -5.180771829,      -1.120902674,      -11.99337886
          39,      -6.563529765,      -5.193646355,      -1.128979326,      -12.07680392
          40,      -6.636207345,      -5.222014615,      -1.154851656,      -12.07031034
          41,      -6.624473802,      -5.194665178,      -1.134583854,      -12.06713373
          42,      -6.603049614,      -5.206749756,      -1.148521553,      -12.21282338
          43,      -6.566358441,       -5.18778945,      -1.146020402,      -11.86214191
          44,      -6.562280945,      -5.163068786,      -1.113659253,      -12.15896463
          45,      -6.594582343,      -5.200657522,      -1.137244562,      -12.06018885
          46,      -6.655463091,      -5.214769243,      -1.159133288,      -12.04995067
          47,      -6.602588615,      -5.207930699,      -1.119289192,       -12.2260158
          48,      -6.577612766,      -5.196783722,      -1.139558807,      -12.07359077
          49,      -6.534294687,      -5.177253426,      -1.124410104,      -11.91367825
