"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
           0,      -4.728902412,      -4.696458999,       -4.20501727,      -25.40128624,      -15.07176962
           1,      -4.965233964,      -4.825319281,      -4.462093482,      -15.08985723,      -3.486975777
           2,      -5.083707507,      -4.826863148,      -4.589374217,      -15.16735449,      -3.763744143
           3,       -5.11722279,       -4.82168111,      -4.627121879,      -13.88125118,       -3.82424156
           4,      -5.175167633,      -4.904714191,      -4.683049001,      -12.79160244,       -3.84086976
           5,      -5.228751038,      -5.019588854,      -4.736409218,      -11.91756013,      -3.853316632
           6,      -5.278760529,      -4.970350631,      -4.785128578,      -10.96948602,      -3.842629472
           7,      -5.340352706,      -4.972709485,       -4.84942356,      -10.35538451,      -3.726614826
           8,       -5.44639544,      -5.077846626,      -4.958325007,      -9.967867044,      -3.487675775
           9,      -5.467378181,      -4.949166347,      -4.981713714,      -9.471007593,       -3.02931203
          10,      -5.586239977,      -4.974194011,      -5.100511624,      -9.190418837,       -2.75198459
          11,      -5.671212761,      -5.049752683,      -5.192025737,      -8.964814675,      -2.527422164
          12,      -5.726421764,      -4.973823237,      -5.226439802,      -8.784199315,      -2.347174427
          13,      -5.827023396,      -5.114702132,        -5.3364145,      -8.682918606,      -2.245790552
          14,      -5.854961889,       -5.05940962,      -5.321857226,      -8.619296967,      -2.181301945
          15,      -5.803415487,      -5.044040745,      -5.254609202,      -8.501128878,       -2.06410116
          16,      -5.866571977,      -5.129537228,       -5.30030141,       -8.52755691,      -2.087497929
          17,       -5.87638125,      -5.136001036,      -5.297324385,      -8.471156858,      -2.031745704
          18,      -5.844939807,      -5.056472455,      -5.245994119,      -8.477221135,      -2.036846449
          19,       -5.93336777,       -5.19355752,       -5.32899153,      -8.473035206,      -2.031687373
          20,      -5.992403618,      -5.133289294,      -5.350092312,      -8.520281532,      -2.077150738
          21,      -5.999402333,       -5.11317696,      -5.349097028,      -8.488414271,      -2.047413228
          22,      -6.151981644,      -5.195880371,      -5.461979063,      -8.573469392,      -2.128808661
          23,      -6.198268512,      -5.209665399,       -5.50030899,      -8.562511115,      -2.120117163
          24,      -6.090839626,      -5.149112798,      -5.423476657,       -8.61292502,      -2.171867589
          25,      -6.189790072,      -5.287001692,      -5.560057103,      -8.624849176,      -2.185468547
          26,      -6.103537385,      -5.249883105,      -5.495411139,      -8.681763465,      -2.247450439
          27,      -5.979018511,      -5.252644428,      -5.409785107,       -8.65951773,      -2.231729567
          28,      -6.017098207,      -5.328614013,      -5.474470127,      -8.730457726,       -2.30994777
          29,      -5.986485333,      -5.356696513,      -5.461854558,      -8.715788956,      -2.302039901
          30,      -5.881397161,      -5.302507491,      -5.348580525,      -8.732280304,      -2.333903265
          31,      -5.936682655,      -5.419912787,      -5.435812691,      -8.728297179,      -2.341309413
          32,      -5.917294865,      -5.375273139,      -5.406118754,      -8.725099232,      -2.378908111
          33,      -5.853854149,      -5.376593805,      -5.348523201,      -8.657325134,      -2.327547505
          34,      -5.913742303,      -5.408433836,      -5.416261184,      -8.671003064,      -2.393863256
          35,      -5.916711863,      -5.432941858,      -5.428794463,      -8.634418835,       -2.35890734
          36,       -5.86095587,      -5.360945655,      -5.356809281,      -8.604268767,      -2.343765762
          37,      -5.929707759,      -5.451436143,      -5.449876226,       -8.57600375,       -2.34362174
          38,      -5.937051343,      -5.392793859,       -5.44041147,      -8.537021858,      -2.360696961
          39,      -5.897302605,      -5.398766145,      -5.404693256,      -8.472641919,      -2.279725973
          40,      -5.971645651,      -5.403295878,      -5.476279248,      -8.429861427,      -2.348137144
          41,      -5.990106452,      -5.431800651,      -5.503380434,      -8.374979875,      -2.297213879
          42,      -5.944235212,      -5.366159898,      -5.431669999,      -8.286517618,      -2.269987622
          43,      -6.027734358,       -5.44694108,       -5.53762724,      -8.259511645,      -2.280205886
          44,      -6.033308143,      -5.394471704,      -5.515049392,      -8.235068918,      -2.313568133
          45,      -6.001711508,      -5.413754038,      -5.491122609,      -8.197424997,      -2.243425231
          46,      -6.074538875,      -5.413171337,      -5.549939395,      -8.157526087,       -2.32716617
          47,      -6.098176153,      -5.448773454,      -5.583012361,      -8.118926253,      -2.285867318
          48,      -6.039295892,      -5.396723078,      -5.504263133,      -8.063933363,      -2.284309456
          49,      -6.134474054,      -5.473266635,      -5.613708073,      -8.038621171,      -2.298949098
          50,      -6.121323249,      -5.430721534,      -5.579099894,      -8.018095629,      -2.342720496
          51,      -6.095055571,      -5.459894671,      -5.568444707,      -7.987476652,      -2.286412025
          52,      -6.158667034,      -5.458288285,      -5.614919157,      -7.958521801,      -2.374094467
          53,      -6.185350769,      -5.498463278,      -5.654221711,      -7.930482953,      -2.342675335
          54,       -6.11725994,      -5.458312946,      -5.581769802,      -7.884560548,      -2.351634787
          55,      -6.218820152,      -5.529105501,      -5.687939935,      -7.850811021,      -2.361216649
          56,      -6.191714771,      -5.495267523,      -5.653746166,      -7.828165966,      -2.394895999
          57,      -6.174777654,      -5.530904452,      -5.656719557,      -7.806524367,      -2.351807717
          58,      -6.225875972,      -5.526830896,      -5.691844051,      -7.788451575,      -2.404834073
          59,      -6.256081845,      -5.568783526,      -5.735712899,       -7.76195105,       -2.37552763
          60,      -6.188039765,      -5.538360231,      -5.674674402,      -7.716012445,      -2.368740779
          61,      -6.287168147,      -5.600463461,      -5.769678763,      -7.686638327,      -2.365959185
          62,      -6.254530907,      -5.573029319,      -5.739853073,      -7.673239398,      -2.382642529
          63,       -6.25035806,      -5.611752865,      -5.754077563,      -7.656291067,      -2.352372075
          64,      -6.289845009,      -5.603408761,      -5.777467939,      -7.629322635,      -2.377158819
          65,      -6.324932332,      -5.644751206,      -5.823181069,      -7.594129941,      -2.354716862
          66,      -6.264056003,      -5.620544818,      -5.774350413,      -7.575680883,      -2.352413728
          67,      -6.358468112,      -5.674373165,      -5.856509661,      -7.560512516,      -2.341676021
          68,      -6.324848424,      -5.651402901,      -5.831780729,       -7.53696661,      -2.339978057
          69,      -6.331153644,      -5.691192569,       -5.85311814,      -7.511003124,      -2.327370218
          70,      -6.358689049,      -5.680367444,      -5.866296184,      -7.493950695,      -2.348399669
          71,      -6.394915424,      -5.721176207,      -5.910718544,      -7.474648037,      -2.355398248
          72,      -6.336889829,      -5.701133225,      -5.868201669,      -7.449538469,      -2.403071513
