"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -1.220761285,       1.147585024,      -12.55029939,       4.246272688,      -16.42939484,      -11.54763733
          0,           0,           1,      -1.149196503,      0.9705266765,       1.422233438,       4.373251765,      -5.363882785,       5.654715161
          0,           0,           2,      -1.541530461,      0.6954781196,       1.126567542,       3.990385427,      -2.877163603,       6.553328462
          0,           0,           3,       -1.39779939,      0.8505996239,        1.19907462,       4.110917204,      -2.165236488,       6.077947793
          0,           0,           4,      -1.587472251,      0.8183884317,       1.050417116,       3.917117523,      -2.256551794,       5.594055971
          0,           0,           5,      -1.565795537,      0.8160597247,       1.041952038,       3.934425123,      -2.997987194,       5.077461082
          0,           0,           6,      -1.601209377,       0.949143977,       0.984753835,        3.91124941,      -2.504757621,       4.770261476
          0,           0,           7,      -1.653256256,      0.9436250882,      0.8730057569,       3.868664697,      -2.265891323,       4.720266923
          0,           0,           8,      -1.721398163,      0.9512394617,      0.7770314321,       3.809366536,       -1.82691337,       4.708408009
          0,           0,           9,      -1.702045392,       1.050942778,      0.7481284374,        3.83889588,      -1.500901147,       4.689202136
          0,           0,          10,      -1.652889146,       1.186089731,      0.8083998415,       3.938980136,      -1.214199396,       4.762714123
          0,           0,          11,       -1.62670873,        1.24297497,      0.8074982613,       3.985890196,      -1.111664775,       4.746910561
          0,           0,          12,      -1.585947715,       1.293726143,      0.9845089399,       4.049664096,      -1.034805481,       4.605015289
          0,           0,          13,      -1.880238235,       1.600643621,       1.144697143,       4.213441878,     -0.2701280055,       4.586398755
          0,           0,          14,      -1.969787048,      0.9256146725,      0.5030100651,       3.676678833,      0.3605100669,       4.571096802
          0,           0,          15,      -2.010048136,      0.9042263144,      0.4205696867,       3.621102504,      0.3261581448,       4.574837288
          0,           0,          16,      -2.127139777,       0.752149756,      0.3328711577,       3.481778888,      0.5284807713,       4.557326576
          0,           0,          17,      -2.151231044,      0.6922521139,      0.2970532978,       3.452453512,      0.5027639375,       4.530679717
          0,           0,          18,      -2.171364155,      0.7095797969,      0.2498596906,        3.45630752,      0.8111148813,       4.511219421
          0,           0,          19,      -2.422722679,       0.515714109,     0.08505696825,       3.262828522,      0.6300253781,       4.492240645
          0,           0,          20,      -2.685396102,      0.2784019857,     -0.0756573641,       2.995914413,     0.02667329931,       4.474752374
          0,           0,          21,      -2.728472652,      0.1587546192,     -0.2865844485,       2.904659379,     -0.7552707263,       4.455275368
          0,           0,          22,       -2.82827193,     0.02846716165,     -0.5275694228,       2.792854242,      -1.637756766,       4.432371852
          0,           0,          23,      -3.020644819,     -0.1820994517,     -0.7479885814,       2.592445027,      -2.294569988,       4.407561579
          0,           0,          24,        -3.2935068,     -0.4718755539,     -0.9707266666,       2.312576554,      -2.478942167,       4.382153814
          0,           0,          25,      -3.586528114,     -0.7952543574,      -1.191494296,       2.010662637,      -2.513389301,        4.35434274
          0,           0,          26,      -3.788274375,      -1.071776318,       -1.35327067,       1.795556218,      -2.498752713,       4.322970513
          0,           0,          27,      -3.990626017,       -1.25011199,      -1.630947313,       1.590816007,      -2.464507442,       4.291628662
